Id_mm_yy,Año,Mes,Temp_SST,Temp_media,Anomalía_ONI
abr-16,2016,4,27.83,26.87,0.9
may-16,2016,5,27.94,26.87,0.3
jun-16,2016,6,27.73,26.87,-0.03
jul-16,2016,7,27.29,26.87,-0.47
ago-16,2016,8,26.86,26.87,-0.57
sep-16,2016,9,26.72,26.87,-0.57
oct-16,2016,10,26.72,26.87,-0.74
nov-16,2016,11,26.7,26.87,-0.76
dic-16,2016,12,26.6,26.87,-0.5
ene-17,2017,1,26.55,26.87,-0.43
feb-17,2017,2,26.76,26.87,-0.08
mar-17,2017,3,27.29,26.87,0.03
abr-17,2017,4,27.83,26.87,0.21
may-17,2017,5,27.94,26.87,0.36
jun-17,2017,6,27.73,26.87,0.33
jul-17,2017,7,27.29,26.87,0.25
ago-17,2017,8,26.86,26.87,-0.16
sep-17,2017,9,26.72,26.87,-0.43
oct-17,2017,10,26.72,26.87,-0.56
nov-17,2017,11,26.7,26.87,-0.96
dic-17,2017,12,26.6,26.87,-0.99
ene-18,2018,1,26.55,26.87,-0.98
feb-18,2018,2,26.76,26.87,-0.78
mar-18,2018,3,27.29,26.87,-0.8
abr-18,2018,4,27.83,26.87,-0.51
may-18,2018,5,27.94,26.87,-0.2
jun-18,2018,6,27.73,26.88,0.05
jul-18,2018,7,27.29,26.88,0.12
ago-18,2018,8,26.86,26.88,0.09
sep-18,2018,9,26.72,26.88,0.47
oct-18,2018,10,26.72,26.88,0.9
nov-18,2018,11,26.7,26.88,0.9
dic-18,2018,12,26.6,26.88,0.89
ene-19,2019,1,26.55,26.87,0.65
feb-19,2019,2,26.76,26.87,0.71
mar-19,2019,3,27.29,26.88,0.8
abr-19,2019,4,27.83,26.88,0.62
may-19,2019,5,27.94,26.88,0.55
jun-19,2019,6,27.73,26.88,0.45
jul-19,2019,7,27.29,26.88,0.35
ago-19,2019,8,26.86,26.88,0.04
sep-19,2019,9,26.72,26.88,0.04
oct-19,2019,10,26.72,26.88,0.48
nov-19,2019,11,26.7,26.88,0.52
dic-19,2019,12,26.6,26.88,0.52
ene-20,2020,1,26.55,26.88,0.6
feb-20,2020,2,26.76,26.88,0.37
mar-20,2020,3,27.29,26.88,0.48
abr-20,2020,4,27.83,26.88,0.36
may-20,2020,5,27.94,26.88,-0.27
jun-20,2020,6,27.73,26.88,-0.34
jul-20,2020,7,27.29,26.88,-0.3
ago-20,2020,8,26.86,26.88,-0.59
sep-20,2020,9,26.72,26.88,-0.83
oct-20,2020,10,26.72,26.88,-1.25
nov-20,2020,11,26.7,26.88,-1.42
dic-20,2020,12,26.6,26.88,-1.15
ene-21,2021,1,26.55,26.88,-0.99
feb-21,2021,2,26.76,26.88,-1
mar-21,2021,3,27.29,26.88,-0.8
abr-21,2021,4,27.83,26.88,-0.72
may-21,2021,5,27.94,26.88,-0.46
jun-21,2021,6,27.73,26.88,-0.28
jul-21,2021,7,27.29,26.88,-0.39
ago-21,2021,8,26.86,26.88,-0.53
sep-21,2021,9,26.72,26.88,-0.55
oct-21,2021,10,26.72,26.88,-0.94
nov-21,2021,11,26.7,26.88,-0.94
dic-21,2021,12,26.6,26.88,-1.06
ene-22,2022,1,26.55,26.88,-0.95
feb-22,2022,2,26.76,26.88,-0.89
mar-22,2022,3,27.29,26.88,-0.97
abr-22,2022,4,27.83,26.88,-1.11
may-22,2022,5,27.94,26.89,-1.11
jun-22,2022,6,27.73,26.89,-0.75
jul-22,2022,7,27.29,26.89,-0.7
ago-22,2022,8,26.86,26.89,-0.97
sep-22,2022,9,26.72,26.89,-1.07
oct-22,2022,10,26.72,26.89,-0.99
nov-22,2022,11,26.7,26.89,-0.9
dic-22,2022,12,26.6,26.89,-0.85
ene-23,2023,1,26.55,26.89,-0.71
feb-23,2023,2,26.76,26.89,-0.46
mar-23,2023,3,27.29,26.89,-0.11
abr-23,2023,4,27.83,26.89,0.09
